Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Sugarcane,1998,1737.503,26.06,28.97,73.84,54.4,93.1
Sugarcane,1999,1622.36,25.58,28.97,73.84,54.4,102.6
Sugarcane,2000,1628.754,25.6,28.97,73.84,54.4,70.3
Sugarcane,2001,1134.703,25.8,28.97,73.84,54.4,75.05
Sugarcane,2002,1334.194, 26.11,28.97,73.84,54.4,46.55
Sugarcane,2003,2068.896,25.23,28.97,73.84,54.4,88.35
Sugarcane,2004,1834.359,26.6,28.97,73.84,54.4,84.55
Sugarcane,2005,1224.952,24.94,28.97,73.84,54.4,90.25
Sugarcane,2006,1750.977,25.18,28.97,73.84,54.4,84.55
Sugarcane,2007,1719.052,26.23,28.97,73.84,54.4,101.65
Sugarcane,2008,2083.291,28.8,28.97,73.84,54.4,95.95
Sugarcane,2009,1682.053,24.3,28.97,73.84,54.4,95
Sugarcane,2010,2056.684,25.19,28.97,73.84,54.4,82.65
Sugarcane,2011,1836.464,27.99,28.97,73.84,54.4,90.25
Sugarcane,2012,1752.294,24.52,28.97,73.84,54.4,90.25
Sugarcane,2013,2042.12,28.97,28.97,73.84,54.4,65.55
Sugarcane,2014,1926.984,26.57,28.97,73.84,54.4,98.8
Sugarcane,2015,1826.553,24.23,28.97,73.84,54.4,82.65
Sugarcane,2016,2042.951,27.65,28.97,73.84,54.4,65.55
Sugarcane,2017,1635.014,29.84,28.97,73.84,54.4,95
Wheat,1997,2015.932,25.84,28.97,73.84,54.4,0.75
Wheat,1998,1737.503,26.06,28.97,73.84,54.4,1.13
Wheat,1999,1622.36,25.58,28.97,73.84,54.4,1.2
Wheat,2000,1628.754,25.6,28.97,73.84,54.4,1.28
Wheat,2001,1134.703,25.8,28.97,73.84,54.4,1.09
Wheat,2002,1334.194, 26.11,28.97,73.84,54.4,0.73
Wheat,2003,2068.896,25.23,28.97,73.84,54.4,0.62
Wheat,2004,1834.359,26.6,28.97,73.84,54.4,1.04
Wheat,2005,1224.952,24.94,28.97,73.84,54.4,1.04
Wheat,2006,1750.977,25.18,28.97,73.84,54.4,1.24
Wheat,2007,1719.052,26.23,28.97,73.84,54.4,1.24
Wheat,2008,2083.291,28.8,28.97,73.84,54.4,1.08
Wheat,2009,1682.053,24.3,28.97,73.84,54.4,1.03
Wheat,2010,2056.684,25.19,28.97,73.84,54.4,1.41
Wheat,2011,1836.464,27.99,28.97,73.84,54.4,1.01
Wheat,2012,1752.294,24.52,28.97,73.84,54.4,0.9
Wheat,2013,2042.12,28.97,28.97,73.84,54.4,0.95
Wheat,2014,1926.984,26.57,28.97,73.84,54.4,1.58
Wheat,2015,1826.553,24.23,28.97,73.84,54.4,0.9
Wheat,2016,2042.951,27.65,28.97,73.84,54.4,1.37
Wheat,2017,1635.014,29.84,28.97,73.84,54.4,1.51
